text,emotion
حاسه مبسوطة قوي النهارده,joy
I am very happy today,joy
حاسه بزعل ومضايقة,sadness
I feel sad and down,sadness
متضايقة وغضبانة,anger
I am angry about what happened,anger
قلقانة ومتوترة,fear
I feel anxious and scared,fear
اتفاجأت بالخبر ده,surprise
That was a surprising news,surprise
أنا تمام دلوقتي,neutral
I feel okay and normal,neutral
حاسه بتوتر ومش مرتاحة,fear
قلقانة ومش عارفة أنام,fear
حاسه بخوف من اللي جاي,fear
حاسه بتوتر ومش مرتاحة,fear
قلقانة ومش عارفة أنام,fear
حاسه بخوف من اللي جاي,fear
حاسه بسعادة كبيرة النهارده,joy
مبسوطة قوي ومش عارفة ليه,joy
أنا فرحانة ومتفائلة,joy
حاسه إن الدنيا حلوة,joy
متحمسة وحاسة بطاقة إيجابية,joy
I feel very happy today,joy
I am excited and joyful,joy
Feeling great and optimistic,joy
Life feels beautiful right now,joy
I am in a really good mood,joy
حاسه بزعل ومضايقة,sadness
حاسه إن قلبي تقيل,sadness
مفيش طاقة أعمل حاجة,sadness
حاسه باكتئاب شوية,sadness
حاسه إن في حاجة ناقصة,sadness
I feel sad and low,sadness
I am feeling down today,sadness
I feel empty and tired,sadness
Nothing feels right anymore,sadness
I feel emotionally drained,sadness
متضايقة جدًا ومتنرفزة,anger
حاسه بغضب مش طبيعي,anger
معصبة ومش طايقة حد,anger
حاسه إني هانفجر من العصبية,anger
مستفزة ومتوترة بسبب اللي حصل,anger
I am very angry right now,anger
I feel furious about this,anger
I am really annoyed,anger
This situation makes me mad,anger
I am irritated and upset,anger
حاسه بتوتر ومش مرتاحة,fear
قلقانة ومش عارفة أنام,fear
حاسه بخوف من اللي جاي,fear
حاسه إن في خطر,fear
قلبي بيدق بسرعة من القلق,fear
I feel anxious and scared,fear
I am worried about the future,fear
Feeling nervous and uneasy,fear
I am afraid something bad will happen,fear
I feel stressed and anxious,fear
اتفاجأت جدًا باللي حصل,surprise
مش مصدقة اللي سمعته,surprise
الخبر ده صدمني,surprise
حاسه بدهشة كبيرة,surprise
اللي حصل كان غير متوقع,surprise
I am really surprised,surprise
That was unexpected,surprise
I didn’t see that coming,surprise
I am shocked by the news,surprise
This surprised me a lot,surprise
أنا تمام دلوقتي,neutral
مش حاسة بحاجة معينة,neutral
يوم عادي جدًا,neutral
مفيش جديد,neutral
حاسه عادية,neutral
I feel okay,neutral
I am neutral right now,neutral
Nothing special today,neutral
Just a normal day,neutral
I feel fine,neutral
هعيط,sadness
